code|preferred_name|synonymous_name|short_name|version_number|revision_number|preferred_letter_symbol|synonymous_letter_symbol|data_element_type_class|definition_class|applicable_classes|property_data_element_type|formula|definition|source_document_of_definition|note|remark|unit_of_measure|code_of_unit|alternative_unit_of_measure|code_of_alternative_unit|code_of_list_of_units|data_type|value_list_code|value_list|value_format|status_level|version_released_on|revision_released_on|obsolete_date|version_initiated_on|definition_classes|symbol|enumeration_code|class_type|superclass|higher-level_classes|properties|inherited_properties|Domain|enumerated_list_of_terms|enumeration_code_list|applicable_properties|enumerated_list_of _terms|enumerated_list of_terms|property_data _element_type
http://www.iop.rwth-aachen.de/PPC/1/1/actualCosts|actual costs|||1|1|||P51|http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder|http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder|NON_DEPENDENT_P_DET||The labor, material, and associated overhead costs that are charged against a job as it moves through the production process.|APICS Dictionary, 13 ed., 2010, ISBN: 9780615394411|||€|||||REAL_CURRENCY|||NR2 2.2|Proposal|||||||||||||||||||
http://www.iop.rwth-aachen.de/IM/1/1/actualDryingLevel|actual drying level|||1|1|||K29|http://www.iop.rwth-aachen.de/PPC/1/1/part|http://www.iop.rwth-aachen.de/PPC/1/1/plasticsGranulate|NON_DEPENDENT_P_DET||The actual drying level of a plastic granulate that is the opposite of the level of moisture.|<eigene>|||mg/l|UAA827|||UAD106|REAL_MEASURE|||NR2|Proposal|||||||||||||||||||
http://www.iop.rwth-aachen.de/PPC/1/1/actualDuration|actual duration|||1|1|t_act}||T07||['http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder', 'http://www.iop.rwth-aachen.de/PPC/1/1/routing', 'http://www.iop.rwth-aachen.de/PPC/1/1/operation']|NON_DEPENDENT_P_DET||The difference between the actual start date and the current date (if the activity is still in progress) or the difference between the actual start date and the actual completion date (if the activity is completed).|APICS Dictionary, 13 ed., 2010, ISBN: 9780615394411|||min|UAA842|h|UAA525|UAD197|REAL_MEASURE|||NR2..6.2|Proposal|||||['http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder', 'http://www.iop.rwth-aachen.de/PPC/1/1/routing', 'http://www.iop.rwth-aachen.de/PPC/1/1/operation']||||||||||||||
http://www.iop.rwth-aachen.de/PPC/1/1/actualEndDate|actual end date|||1|1|||A31||['http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder', 'http://www.iop.rwth-aachen.de/PPC/1/1/routing', 'http://www.iop.rwth-aachen.de/PPC/1/1/operation']|NON_DEPENDENT_P_DET||The date on which an activity in a project was completed.|APICS Dictionary, 13 ed., 2010, ISBN: 9780615394411|||none|||||DATE_TIME|||X 10|Proposal|||||['http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder', 'http://www.iop.rwth-aachen.de/PPC/1/1/routing', 'http://www.iop.rwth-aachen.de/PPC/1/1/operation']||||||||||||||
http://www.iop.rwth-aachen.de/PPC/1/1/actaulQuantity|actual quantity|total quantity||1|1|||A71|http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder|http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder|NON_DEPENDENT_P_DET||The quantities (OK parts, rejects) that occur during production are shown in this container.|VDI 5600 Part 3|||1|||||REAL_MEASURE|||NR2..8.2|Proposal|||||||||||||||||||
http://www.iop.rwth-aachen.de/PPC/1/1/actualStartDate|actual start date|||1|1|||A31||['http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder', 'http://www.iop.rwth-aachen.de/PPC/1/1/routing', 'http://www.iop.rwth-aachen.de/PPC/1/1/operation']|NON_DEPENDENT_P_DET||The date on which an activity was started.|APICS Dictionary, 13 ed., 2010, ISBN: 9780615394411|||none|||||DATE_TIME|||X 10|Proposal|||||['http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder', 'http://www.iop.rwth-aachen.de/PPC/1/1/routing', 'http://www.iop.rwth-aachen.de/PPC/1/1/operation']||||||||||||||
http://www.iop.rwth-aachen.de/IM/1/1/adapterPlateHeightMax|maximum adapter plate height|||1|1|h_adapplate,max}||T03|http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset|http://www.iop.rwth-aachen.de/PPC/1/1/injectionMoldingMachine|NON_DEPENDENT_P_DET||Maximum possible height of a mold that can be mounted on the machine.|<eigene>|||mm|UAA862 |cm|UAA375|UAD072|REAL|||NR2..4|Proposal|||||||||||||||||||
http://www.iop.rwth-aachen.de/IM/1/1/adapterPlateWidthMax|maximum adapter plate width|||1|1|w_adapplate,max}||T03|http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset|http://www.iop.rwth-aachen.de/PPC/1/1/injectionMoldingMachine|NON_DEPENDENT_P_DET||Maximum possible width of a mold that can be mounted on the machine.|<eigene>|||mm|UAA862 |cm|UAA375|UAD072|REAL|||NR2..4|Proposal|||||||||||||||||||
http://www.iop.rwth-aachen.de/IM/1/1/adapterType|adapter type|||1|1|||A58|http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset|['http://www.iop.rwth-aachen.de/IM/1/1/mold', 'http://www.iop.rwth-aachen.de/IM/1/1/moldInsert', 'http://www.iop.rwth-aachen.de/IM/1/1/temperatureControlDevice']|NON_DEPENDENT_P_DET||Type of the adapter.|<eigene>|||none|||||STRING|||X..40|Proposal|||||||||||||||||||
http://www.iop.rwth-aachen.de/IM/1/1/airQuantity|air quantity|||1|1|q_air}||K30|http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset|http://www.iop.rwth-aachen.de/PPC/1/1/dryer|NON_DEPENDENT_P_DET||Quantity of air the dryer can provide in an hour.|<eigene>|||m³/h|UAA763|||UAD239|REAL|||NR2|Proposal|||||||||||||||||||
